# Cleanup candidates (.tmp.driveupload older than 30 days)

FullName                                        SizeMB LastWriteTime
C:\Users\mana4\Desktop\.tmp.driveupload\3155794   0.00 2025/12/29 8:56:12
C:\Users\mana4\Desktop\.tmp.driveupload\3155806   0.00 2025/12/29 8:56:12
C:\Users\mana4\Desktop\.tmp.driveupload\3155788   0.00 2025/12/29 8:56:12
C:\Users\mana4\Desktop\.tmp.driveupload\3155808   0.00 2025/12/29 8:56:12
C:\Users\mana4\Desktop\.tmp.driveupload\3155802   0.00 2025/12/29 8:56:12
C:\Users\mana4\Desktop\.tmp.driveupload\3155814   0.00 2025/12/29 8:56:12
C:\Users\mana4\Desktop\.tmp.driveupload\3155816   0.00 2025/12/29 8:56:12
C:\Users\mana4\Desktop\.tmp.driveupload\3155812   0.00 2025/12/29 8:56:12
C:\Users\mana4\Desktop\.tmp.driveupload\3155798   0.00 2025/12/29 8:56:12
C:\Users\mana4\Desktop\.tmp.driveupload\3155784   0.00 2025/12/29 8:56:12
C:\Users\mana4\Desktop\.tmp.driveupload\3155792   0.00 2025/12/29 8:56:12
C:\Users\mana4\Desktop\.tmp.driveupload\3155818   0.00 2025/12/29 8:56:29
C:\Users\mana4\Desktop\.tmp.driveupload\3155824   0.00 2025/12/29 8:56:29
C:\Users\mana4\Desktop\.tmp.driveupload\3155822   0.00 2025/12/29 8:56:29
C:\Users\mana4\Desktop\.tmp.driveupload\3156522   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156524   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156232   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156526   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156612   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156174   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156376   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156710   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156314   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156170   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156040   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156736   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156164   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156162   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3155992   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156076   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156236   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156102   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156374   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156180   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156398   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156740   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156724   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156716   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3155874   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156420   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3155934   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156646   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156298   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156674   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3155976   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156128   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156618   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156320   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156206   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3155932   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156194   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156146   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156470   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156014   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156202   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3155830   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156672   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156338   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156192   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156182   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156452   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156052   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156510   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156454   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156478   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156586   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156350   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156544   0.01 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3156572   0.00 2025/12/29 8:56:51
C:\Users\mana4\Desktop\.tmp.driveupload\3155890   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156134   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156680   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156714   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3155908   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3155928   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156274   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156516   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156442   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156238   0.00 2025/12/29 8:56:52
C:\Users\mana4\Desktop\.tmp.driveupload\3156156   0.00 2025/12/29 8:56:52
